session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
19700101-000025,-OrRVIn7yQQ_jFQia_CM,2026-04-30 03:49:10+00:00,1777520950000,120,26.11124,37.92335,1009.38,45364,True,,
19700101-000025,-OrRVLEOaZ_vY0B7m0dY,2026-04-30 03:49:20+00:00,1777520960000,130,26.07828,37.94281,1009.38,45561,True,,
19700101-000025,-OrRVNfbntBHtK_WvgI2,2026-04-30 03:49:30+00:00,1777520970000,140,26.04912,37.9741,1009.39001,45961,True,,
19700101-000025,-OrRVQ6vzs--Ab4WMenk,2026-04-30 03:49:40+00:00,1777520980000,150,26.02186,38.04565,1009.39001,46574,True,,
19700101-000025,-OrRVSZQeB1Kt8i-SK6V,2026-04-30 03:49:50+00:00,1777520990000,160,25.99778,38.19774,1009.39001,46992,True,,
19700101-000025,-OrRVV-iR0-uoBqvtFvO,2026-04-30 03:50:00+00:00,1777521000000,170,25.9889,38.27703,1009.40997,47122,True,,
19700101-000025,-OrRVXabZqiwk9HNpySI,2026-04-30 03:50:10+00:00,1777521010000,180,25.97812,38.12124,1009.40002,47442,True,,
19700101-000025,-OrRVZt1o7-_MJbq9Vby,2026-04-30 03:50:20+00:00,1777521020000,190,25.96259,38.091,1009.40002,47469,True,,
19700101-000025,-OrRVbKniUOFV79bvQPN,2026-04-30 03:50:30+00:00,1777521030000,200,25.9439,38.08905,1009.40002,48152,True,,
19700101-000025,-OrRVdlTfe2kITQUeSYl,2026-04-30 03:50:40+00:00,1777521040000,210,25.92424,38.10418,1009.40997,48014,True,,
19700101-000025,-OrRVgCSBtwXQp8GicZY,2026-04-30 03:50:50+00:00,1777521050000,220,25.90554,38.10223,1009.40997,48430,True,,
19700101-000025,-OrRVieGYUyfJ0yNpmdm,2026-04-30 03:51:00+00:00,1777521060000,230,25.88526,38.13446,1009.40997,48599,True,,
19700101-000025,-OrRVl521oPWZ4QNGonS,2026-04-30 03:51:10+00:00,1777521070000,240,25.86561,38.15532,1009.40997,48825,True,,
19700101-000025,-OrRVnXb0M9DYUEzJn8O,2026-04-30 03:51:20+00:00,1777521080000,250,26.04817,40.1223,1009.42999,47335,True,,
19700101-000025,-OrRVpyP1TRLe5-EpOau,2026-04-30 03:51:30+00:00,1777521090000,260,26.09349,38.9889,1009.42999,47362,True,,
19700101-000025,-OrRVsPMj2vPjoLdZTV5,2026-04-30 03:51:40+00:00,1777521100000,270,26.10871,38.07187,1009.42999,47767,True,,
19700101-000025,-OrRVur06X3GAvXfHuug,2026-04-30 03:51:50+00:00,1777521110000,280,26.1049,37.87694,1009.42999,48235,True,,
19700101-000025,-OrRVxI_kcsR_ui05hEb,2026-04-30 03:52:00+00:00,1777521120000,290,26.08684,37.86935,1009.42999,48346,True,,
19700101-000025,-OrRVzjNfRF_6_H439OJ,2026-04-30 03:52:10+00:00,1777521130000,300,26.05958,37.90083,1009.41998,48486,True,,
19700101-000025,-OrRW1ATVooX0_SRtDQp,2026-04-30 03:52:20+00:00,1777521140000,310,26.02884,37.93767,1009.41998,48797,True,,
19700101-000025,-OrRW3bzIvsPpcrwrt0m,2026-04-30 03:52:30+00:00,1777521150000,320,25.99524,37.98566,1009.42999,48968,True,,
19700101-000025,-OrRW62wyccvAUV-uxKZ,2026-04-30 03:52:40+00:00,1777521160000,330,25.96038,38.02209,1009.42999,49256,True,,
19700101-000025,-OrRW8VFSOXC9BtDlNq-,2026-04-30 03:52:50+00:00,1777521170000,340,25.92646,38.07007,1009.44,49577,True,,
19700101-000025,-OrRWAx3t-OWrkfW1EKq,2026-04-30 03:53:00+00:00,1777521180000,350,25.89445,38.1068,1009.44,49724,True,,
19700101-000025,-OrRWDNyV_Ixgn_k5lGf,2026-04-30 03:53:10+00:00,1777521190000,360,25.86339,38.13219,1009.44,50081,True,,
19700101-000025,-OrRWFv_E5urBF4aYImh,2026-04-30 03:53:20+00:00,1777521200000,370,25.8336,38.18062,1009.44,49932,True,,
