session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260506-012315,-Orut-rR6XyrtQmMCQNz,2026-05-06 01:25:42+00:00,1778030742000,147,27.46807,43.35048,10.02573,66034,True,256.2406,2
20260506-012315,-Orut2mpoeHP51FNnmYA,2026-05-06 01:25:54+00:00,1778030754000,159,27.46807,43.38721,10.02581,67199,True,249.03947,2
20260506-012315,-Orut5irxAze3dA55l46,2026-05-06 01:26:06+00:00,1778030766000,171,27.463,43.3964,10.02597,67634,True,243.30789,2
20260506-012315,-Orut9FXu9VvVdLoXsXH,2026-05-06 01:26:18+00:00,1778030778000,183,27.463,43.38531,10.0259,68295,True,237.54556,2
20260506-012315,-OrutB_fkr7akBKzXqBR,2026-05-06 01:26:30+00:00,1778030790000,195,27.46047,43.387,10.02583,68240,True,233.63991,2
20260506-012315,-OrutEWBAjM71EWVRgrZ,2026-05-06 01:26:42+00:00,1778030802000,207,27.45793,43.38786,10.02578,67743,True,233.34077,2
20260506-012315,-OrutHSEzvZYGvmpGXgk,2026-05-06 01:26:54+00:00,1778030814000,219,27.463,43.37119,10.02602,68575,True,230.21021,2
20260506-012315,-OrutKNRhDxqhaFJ2mfG,2026-05-06 01:27:06+00:00,1778030826000,231,27.463,43.34634,10.02594,68914,True,226.9447,2
20260506-012315,-OrutNIjIg8H4vsVtLrB,2026-05-06 01:27:18+00:00,1778030838000,243,27.463,43.2984,10.02602,69256,True,223.31195,2
20260506-012315,-OrutQEKiuIPovtL8vEa,2026-05-06 01:27:30+00:00,1778030850000,255,27.45793,43.30252,10.02596,69198,True,221.04202,2
20260506-012315,-OrutT9jSTzebaCr-1OZ,2026-05-06 01:27:42+00:00,1778030862000,267,27.45793,43.28195,10.02598,68970,True,219.60403,2
20260506-012315,-OrutW5VZjZnwJ9POQEx,2026-05-06 01:27:54+00:00,1778030874000,279,27.45793,43.27513,10.02577,69659,True,216.92442,2
20260506-012315,-OrutZ0jhWYD792gkIfx,2026-05-06 01:28:06+00:00,1778030886000,291,27.46554,43.26078,10.02585,69198,True,215.57855,2
20260506-012315,-OrutawzqcGbFth3YxOM,2026-05-06 01:28:18+00:00,1778030898000,303,27.4554,43.25949,10.0259,70008,True,212.21614,2
20260506-012315,-Orutdsmqv23W8XTHiTj,2026-05-06 01:28:30+00:00,1778030910000,315,27.46047,43.26036,10.02584,70598,True,207.56413,2
20260506-012315,-Orutgo9lCbWZDN4bFh1,2026-05-06 01:28:42+00:00,1778030922000,327,27.46807,43.21121,10.02591,71017,True,203.67729,2
20260506-012315,-OrutjjbOprOSyP2k4X0,2026-05-06 01:28:54+00:00,1778030934000,339,27.46807,43.22734,10.02596,71078,True,201.0401,2
20260506-012315,-OrutmfC41KU9Bivqauy,2026-05-06 01:29:06+00:00,1778030946000,351,27.47061,43.22225,10.02599,71686,True,198.24245,2
20260506-012315,-OrutpacglfjNzrzcMM_,2026-05-06 01:29:18+00:00,1778030958000,363,27.46807,43.2481,10.02603,72118,True,196.50127,2
20260506-012315,-OrutsctCTZxHXv-y5GY,2026-05-06 01:29:30+00:00,1778030970000,375,27.46807,43.2402,10.02588,71502,True,197.73155,2
20260506-012315,-OrutvT0WWqXLSbTzZXV,2026-05-06 01:29:42+00:00,1778030982000,387,27.46807,43.2494,10.02603,70837,True,200.07228,2
20260506-012315,-OrutyO76etyXr2o2hi4,2026-05-06 01:29:54+00:00,1778030994000,399,27.46047,43.23978,10.02581,70658,True,201.32994,2
20260506-012315,-Oruu0JOvNuLutxnT3Ba,2026-05-06 01:30:06+00:00,1778031006000,411,27.46554,43.21476,10.02594,71199,True,199.27327,2
20260506-012315,-Oruu3F0QJ-1NfWNKLfJ,2026-05-06 01:30:18+00:00,1778031018000,423,27.46554,43.2176,10.02601,71809,True,195.77892,2
20260506-012315,-Oruu6A_VUk40RKW9Dig,2026-05-06 01:30:30+00:00,1778031030000,435,27.46807,43.2025,10.02584,72056,True,193.13512,2
20260506-012315,-Oruu95ueoXuhlU3_gFm,2026-05-06 01:30:42+00:00,1778031042000,447,27.46807,43.2327,10.02595,72618,True,190.39156,2
20260506-012315,-OruuC1bUIYJNEVkr9Wd,2026-05-06 01:30:54+00:00,1778031054000,459,27.46047,43.25784,10.02586,72493,True,189.72289,2
20260506-012315,-OruuExxwFeEzWwf57dC,2026-05-06 01:31:06+00:00,1778031066000,471,27.46047,43.27455,10.02574,72556,True,190.02292,3
20260506-012315,-OruuHtKjyShOA4m8Yg9,2026-05-06 01:31:18+00:00,1778031078000,483,27.46047,43.266,10.02575,71747,True,192.12521,3
20260506-012315,-OruuKp5_06KFN4DHYOO,2026-05-06 01:31:30+00:00,1778031090000,495,27.46807,43.25792,10.02589,70837,True,197.09923,3
20260506-012315,-OruuNkbVnyAEo5bDe7t,2026-05-06 01:31:42+00:00,1778031102000,507,27.46047,43.27621,10.02575,70658,True,199.72627,3
20260506-012315,-OruuQgl6dSF3kpxz0Sf,2026-05-06 01:31:54+00:00,1778031114000,519,27.463,43.24942,10.02574,71686,True,197.44019,3
20260506-012315,-OruuTbWnIhhPisFvYz_,2026-05-06 01:32:06+00:00,1778031126000,531,27.463,43.26946,10.02572,72180,True,194.05965,3
20260506-012315,-OruuWXpK3epT3KZHLlf,2026-05-06 01:32:18+00:00,1778031138000,543,27.45793,43.28992,10.02555,72305,True,191.87074,3
