session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260506-025744,1778036272,2026-05-06 02:57:52+00:00,1778036272000,3,27.64705,43.16205,10.02651,93575,True,149.8407,0
20260506-025744,1778036284,2026-05-06 02:58:04+00:00,1778036284000,15,28.29469,39.10691,10.02671,3248484,True,0.0,0
20260506-025744,1778036294,2026-05-06 02:58:14+00:00,1778036294000,25,27.85856,41.37016,10.02668,57667,True,0.0,0
20260506-025744,1778036306,2026-05-06 02:58:26+00:00,1778036306000,37,27.84842,42.14297,10.02673,53402,True,180.04291,0
20260506-025744,1778036318,2026-05-06 02:58:38+00:00,1778036318000,49,27.85095,42.20879,10.02672,54302,True,182.3158,0
20260506-025744,1778036330,2026-05-06 02:58:50+00:00,1778036330000,61,27.85603,42.1575,10.02655,55233,True,184.18066,0
20260506-025744,1778036342,2026-05-06 02:59:02+00:00,1778036342000,73,27.8611,42.13835,10.02644,56424,True,185.87726,0
