session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260507-110012,1778151617,2026-05-07 11:00:17+00:00,1778151617000,3,26.41462,44.0676,10.08539,99053,True,126.35961,0
20260507-110012,1778151629,2026-05-07 11:00:29+00:00,1778151629000,15,27.05223,39.82532,10.08595,4561702,True,0.0,0
20260507-110012,1778151641,2026-05-07 11:00:41+00:00,1778151641000,27,26.74035,41.16114,10.08558,68407,True,0.0,0
20260507-110012,1778151740,2026-05-07 11:02:20+00:00,1778151740000,125,26.47412,43.48501,10.08548,42772,True,151.72984,0
20260507-110012,1778151751,2026-05-07 11:02:31+00:00,1778151751000,136,26.53244,43.19825,10.08552,46368,True,156.45761,0
20260507-110012,1778151763,2026-05-07 11:02:43+00:00,1778151763000,148,26.4868,43.18298,10.08537,52929,True,159.25703,0
20260507-110012,1778151775,2026-05-07 11:02:55+00:00,1778151775000,160,26.50454,42.98684,10.08541,60896,True,154.98468,0
20260507-110012,1778151787,2026-05-07 11:03:07+00:00,1778151787000,172,26.51215,42.89509,10.0853,65930,True,151.53757,0
20260507-110012,1778151799,2026-05-07 11:03:19+00:00,1778151799000,184,26.52229,42.9048,10.08569,69027,True,149.4877,0
20260507-110012,1778151811,2026-05-07 11:03:31+00:00,1778151811000,196,26.52483,42.89495,10.08538,71320,True,148.56863,0
20260507-110012,1778151823,2026-05-07 11:03:43+00:00,1778151823000,208,26.5299,42.84785,10.08541,73318,True,147.82774,0
20260507-110012,1778151836,2026-05-07 11:03:56+00:00,1778151836000,221,26.43608,43.49973,10.08529,63194,True,154.88846,0
20260507-110012,1778151848,2026-05-07 11:04:08+00:00,1778151848000,233,26.51722,42.9315,10.08531,71564,True,157.541,0
20260507-110012,1778151860,2026-05-07 11:04:20+00:00,1778151860000,245,26.5299,42.80255,10.08546,74758,True,153.74834,0
20260507-110012,1778151872,2026-05-07 11:04:32+00:00,1778151872000,257,26.53497,42.78732,10.08555,76255,True,151.40717,0
20260507-110012,1778151884,2026-05-07 11:04:44+00:00,1778151884000,269,26.53497,42.85203,10.08526,77382,True,150.17589,0
20260507-110012,1778151896,2026-05-07 11:04:56+00:00,1778151896000,281,26.50454,43.09841,10.08535,73190,True,158.21997,0
20260507-110012,1778151909,2026-05-07 11:05:09+00:00,1778151909000,294,26.57465,42.83622,10.08535,74824,True,160.84315,0
