session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260507-050827,1778130516,2026-05-07 05:08:36+00:00,1778130516000,3,26.70111,43.94185,10.08609,93755,True,69.64268,0
20260507-050827,1778130528,2026-05-07 05:08:48+00:00,1778130528000,15,27.3489,39.65051,10.08679,4315620,True,0.0,0
20260507-050827,1778130540,2026-05-07 05:09:00+00:00,1778130540000,27,27.03702,40.98331,10.08639,70658,True,0.0,0
20260507-050827,1778130553,2026-05-07 05:09:13+00:00,1778130553000,40,27.02346,41.5158,10.08643,71199,True,40.23075,0
20260507-050827,1778130565,2026-05-07 05:09:25+00:00,1778130565000,52,26.85953,42.91174,10.08635,65415,True,72.4674,0
20260507-050827,1778130577,2026-05-07 05:09:37+00:00,1778130577000,64,26.86714,42.68003,10.0865,72118,True,74.284,0
20260507-050827,1778130589,2026-05-07 05:09:49+00:00,1778130589000,76,26.8646,42.63663,10.08637,75635,True,75.71762,0
