session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260508-193357,1778268936,2026-05-08 19:35:36+00:00,1778268936000,28,25.86304,40.98647,10.08823,62116,True,75.61314,0
20260508-193357,1778269002,2026-05-08 19:36:42+00:00,1778269002000,93,25.88289,41.2045,10.0882,64211,True,102.58842,0
20260508-193357,1778269111,2026-05-08 19:38:31+00:00,1778269111000,202,25.68048,42.46119,10.08809,39769,True,230.52737,0
20260508-193357,1778269124,2026-05-08 19:38:44+00:00,1778269124000,215,25.74316,42.20874,10.08809,44030,True,241.06686,0
20260508-193357,1778269136,2026-05-08 19:38:56+00:00,1778269136000,227,25.70076,42.28699,10.0883,52696,True,230.40265,0
