session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260508-220320,1778277820,2026-05-08 22:03:40+00:00,1778277820000,3,25.75031,43.5408,10.09016,85784,True,115.29141,0
20260508-220320,1778277831,2026-05-08 22:03:51+00:00,1778277831000,13,26.13357,41.68641,10.09136,121464,True,97.68539,0
20260508-220320,1778277843,2026-05-08 22:04:03+00:00,1778277843000,25,26.21802,40.46845,10.09139,55306,True,0.0,0
20260508-220320,1778277855,2026-05-08 22:04:15+00:00,1778277855000,37,25.89347,42.46561,10.09176,69601,True,115.9006,0
20260508-220320,1778277868,2026-05-08 22:04:28+00:00,1778277868000,50,25.93315,42.44565,10.09171,71932,True,116.73737,0
