session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
20260430-164104,-OrUGRtVnnEsvFcvyqtt,2026-04-30 16:43:06+00:00,1777567386000,120,25.14836,42.73819,1008.21997,58801
20260430-164104,-OrUGUHga7vV4_bBMFQ4,2026-04-30 16:43:16+00:00,1777567396000,130,25.13632,42.78979,1008.21997,58801
20260430-164104,-OrUGWj-v25yxiPIUMOO,2026-04-30 16:43:26+00:00,1777567406000,140,25.12617,42.81805,1008.21002,58678
20260430-164104,-OrUGZA_Kr9XoSrZ3_wz,2026-04-30 16:43:36+00:00,1777567416000,150,25.11698,42.83466,1008.22998,58719
20260430-164104,-OrUGabSY9PDKRvIe7s5,2026-04-30 16:43:46+00:00,1777567426000,160,25.10811,42.93964,1008.22998,58678
20260430-164104,-OrUGd2nnFQxtjbkjQs6,2026-04-30 16:43:56+00:00,1777567436000,170,25.10145,43.04493,1008.21997,58473
20260430-164104,-OrUGfaCirnxDH4xiVeV,2026-04-30 16:44:06+00:00,1777567446000,180,25.09385,43.09711,1008.21002,58514
20260430-164104,-OrUGhw87OFihCOj_yaH,2026-04-30 16:44:16+00:00,1777567456000,190,25.08687,43.1258,1008.21002,58432
20260430-164104,-OrUGkNTp3C9ysxuFuts,2026-04-30 16:44:26+00:00,1777567466000,200,25.07958,43.18394,1008.20001,58514
20260430-164104,-OrUGmoLyhGMc8ZSh6co,2026-04-30 16:44:36+00:00,1777567476000,210,25.07293,43.21267,1008.20001,58636
20260430-164104,-OrUGpK-PDXeJs8yd0-7,2026-04-30 16:44:46+00:00,1777567486000,220,25.06691,43.17659,1008.20001,58595
20260430-164104,-OrUGrhGC1jo57x27luN,2026-04-30 16:44:56+00:00,1777567496000,230,25.06183,43.12883,1008.20001,58595
20260430-164104,-OrUGu8pnUMDaP138lFa,2026-04-30 16:45:06+00:00,1777567506000,240,25.05613,43.09871,1008.20001,58719
20260430-164104,-OrUGw_XjRZWM9iNIX3R,2026-04-30 16:45:16+00:00,1777567516000,250,25.05137,43.09816,1008.19,58719
20260430-164104,-OrUGz0a4pZexDNNHb1y,2026-04-30 16:45:26+00:00,1777567526000,260,25.04535,43.17413,1008.19,58760
20260430-164104,-OrUH0SxVWk_QBu5aMDc,2026-04-30 16:45:36+00:00,1777567536000,270,25.03996,43.2089,1008.19,58636
