session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
20260502-025019,-OraaVEgXch-nKm8ARJ6,2026-05-02 02:52:26+00:00,1777690346000,120,26.7369,40.59856,1002.21002,22156
20260502-025019,-OraaXgBdqABvB7D5qzC,2026-05-02 02:52:36+00:00,1777690356000,130,26.66907,40.62017,1002.20001,22465
20260502-025019,-Oraa_Vgkl7dZLQa9fXT,2026-05-02 02:52:46+00:00,1777690366000,140,26.60854,40.6659,1002.20001,22758
20260502-025019,-OraabZAHPtvoCNCtNw9,2026-05-02 02:52:56+00:00,1777690376000,150,26.55402,40.71812,1002.20001,22932
20260502-025019,-Oraae-aa-e2gtnADs92,2026-05-02 02:53:06+00:00,1777690386000,160,26.50489,40.77676,1002.19,23135
20260502-025019,-OraagRZkmkzK_QzFr7k,2026-05-02 02:53:16+00:00,1777690396000,170,26.45862,40.82991,1002.19,23393
20260502-025019,-OraanqB7ceDwopV4QoV,2026-05-02 02:53:26+00:00,1777690406000,180,26.41552,40.88924,1002.17999,23775
20260502-025019,-OraapjpOLH2eWIlXB80,2026-05-02 02:53:50+00:00,1777690430000,204,26.36449,41.21029,1002.17999,19440
20260502-025019,-OraarS3dEGFi0A4KIwW,2026-05-02 02:54:00+00:00,1777690440000,214,26.31884,41.19353,1002.16998,21063
20260502-025019,-Oraat_G0WkmDZfjUgSv,2026-05-02 02:54:10+00:00,1777690450000,224,26.27954,41.195,1002.16998,22179
20260502-025019,-Oraaw0_ijnL6oXlXJdW,2026-05-02 02:54:20+00:00,1777690460000,234,26.24405,41.24945,1002.16998,22932
20260502-025019,-OraayShQB3Ixagh0XOX,2026-05-02 02:54:30+00:00,1777690470000,244,26.2114,41.33927,1002.15002,23498
20260502-025019,-Orab-uM8rfdSNKjdhJZ,2026-05-02 02:54:40+00:00,1777690480000,254,26.18129,41.30671,1002.15002,24131
20260502-025019,-Orab2JWvBJ95Uuf5a-L,2026-05-02 02:54:50+00:00,1777690490000,264,26.15498,41.28625,1002.15002,24201
20260502-025019,-Orab4ksAHZ2kET0B5-J,2026-05-02 02:55:00+00:00,1777690500000,274,26.12899,41.33593,1002.15002,24484
20260502-025019,-Orab7BTfgZyRF21c0EW,2026-05-02 02:55:10+00:00,1777690510000,284,26.10617,41.32755,1002.14001,24642
20260502-025019,-Orab9dDM-v7LVfmucyG,2026-05-02 02:55:20+00:00,1777690520000,294,26.08367,41.3192,1002.14001,24729
20260502-025019,-OrabC4ngd8MzDDNUCtr,2026-05-02 02:55:30+00:00,1777690530000,304,26.06275,41.35192,1002.14001,24995
20260502-025019,-OrabEW-H427AkGI03XP,2026-05-02 02:55:40+00:00,1777690540000,314,26.04247,41.41394,1002.14001,25099
20260502-025019,-OrabGxq-VDJQFbxHdZb,2026-05-02 02:55:50+00:00,1777690550000,324,26.02313,41.49946,1002.14001,25220
20260502-025019,-OrabJP6bVYyujDG084G,2026-05-02 02:56:00+00:00,1777690560000,334,26.00475,41.52665,1002.14001,25358
20260502-025019,-OrabLsV-ByD-pa4qsTj,2026-05-02 02:56:10+00:00,1777690570000,344,25.98573,41.55376,1002.14001,25543
20260502-025019,-OrabOHp78YvCd8yNlMV,2026-05-02 02:56:20+00:00,1777690580000,354,25.96862,41.61034,1002.13,25527
20260502-025019,-OrabR9GKDcxqv2NPS71,2026-05-02 02:56:30+00:00,1777690590000,364,25.9534,41.65545,1002.12,25779
20260502-025019,-OrabUcWLCiD3eR6JYrx,2026-05-02 02:56:40+00:00,1777690600000,374,25.93851,41.66548,1002.12,25986
20260502-025019,-OrabW3ebUDFHDc2Ctt-,2026-05-02 02:56:50+00:00,1777690610000,384,25.92266,41.64615,1002.10999,26019
20260502-025019,-OrabYOts684nQXd744u,2026-05-02 02:57:00+00:00,1777690620000,394,25.90998,41.63889,1002.10999,25986
20260502-025019,-Orab_U_GKfS8uYNkdvY,2026-05-02 02:57:10+00:00,1777690630000,404,25.8973,41.63747,1002.10999,26116
20260502-025019,-Orabbxeabtv1fPavuMI,2026-05-02 02:57:20+00:00,1777690640000,414,25.88368,41.65934,1002.10999,26116
20260502-025019,-OrabeNTSHckUN4YtB-d,2026-05-02 02:57:30+00:00,1777690650000,424,25.87163,41.67556,1002.10999,26362
20260502-025019,-Orabgol8sOw5ptHbC_R,2026-05-02 02:57:40+00:00,1777690660000,434,25.8599,41.67424,1002.10999,26412
20260502-025019,-OrabjG2HSABDP4AwsKd,2026-05-02 02:57:50+00:00,1777690670000,444,25.84754,41.67286,1002.10999,26429
