session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
20260502-082315,-Orbmg-Ot8gohP1O17kG,2026-05-02 08:25:17+00:00,1777710317000,120,26.06846,50.85357,1004.33002,49991
20260502-082315,-OrbmiRqGplKIvOqBGs5,2026-05-02 08:25:27+00:00,1777710327000,130,26.0637,50.79744,1004.33002,49783
20260502-082315,-OrbmktMgwus29hIsxnF,2026-05-02 08:25:37+00:00,1777710337000,140,26.05958,51.04376,1004.33002,49548
20260502-082315,-OrbmnKGi_-W0NezXwSS,2026-05-02 08:25:47+00:00,1777710347000,150,26.05641,50.96308,1004.32001,49754
20260502-082315,-OrbmpmC7v8HiteMdp9d,2026-05-02 08:25:57+00:00,1777710357000,160,26.05546,50.91974,1004.32001,49401
20260502-082315,-OrbmsCeFuYug1voBCS4,2026-05-02 08:26:07+00:00,1777710367000,170,26.05451,50.87025,1004.32001,49431
20260502-082315,-OrbmurvOGZNoGNpZClq,2026-05-02 08:26:17+00:00,1777710377000,180,26.05515,50.83333,1004.32001,49343
20260502-082315,-Orbmx5UjF3rzEPIWjwD,2026-05-02 08:26:27+00:00,1777710387000,190,26.0561,50.77794,1004.33002,49198
20260502-082315,-OrbmzXgj79QyxEpSa_4,2026-05-02 08:26:37+00:00,1777710397000,200,26.0561,50.73478,1004.32001,49343
20260502-082315,-Orbn0z5LLEhB2qlaLWK,2026-05-02 08:26:47+00:00,1777710407000,210,26.05768,50.69799,1004.32001,49140
20260502-082315,-Orbn3QAZTKbuL8GYqxr,2026-05-02 08:26:57+00:00,1777710417000,220,26.05927,50.67355,1004.32001,49314
20260502-082315,-Orbn5rlV_0pY-EDLp7x,2026-05-02 08:27:07+00:00,1777710427000,230,26.06053,50.67988,1004.33002,49256
20260502-082315,-Orbn8J-_fTIGoBud7Gj,2026-05-02 08:27:17+00:00,1777710437000,240,26.06148,50.72316,1004.33002,49198
20260502-082315,-OrbnAjuJDUbKoFbtt9R,2026-05-02 08:27:27+00:00,1777710447000,250,26.06307,50.77885,1004.33002,49343
20260502-082315,-OrbnDBabQSW3LWCei5P,2026-05-02 08:27:37+00:00,1777710457000,260,26.06465,50.82841,1004.33002,49025
20260502-082315,-OrbnFcCqWQThovkSsi_,2026-05-02 08:27:47+00:00,1777710467000,270,26.06529,50.96424,1004.34003,49256
20260502-082315,-OrbnIXe-SAl3Wjkmvdk,2026-05-02 08:27:57+00:00,1777710477000,280,26.06275,51.21718,1004.33002,49112
20260502-082315,-OrbnKVl_QSY2w1CLEFQ,2026-05-02 08:28:07+00:00,1777710487000,290,26.06339,51.24817,1004.34003,49025
20260502-082315,-OrbnMxTAMZeWFmGsWXI,2026-05-02 08:28:17+00:00,1777710497000,300,26.06433,51.13087,1004.34003,49198
20260502-082315,-OrbnPO8V84IUq3mCYiY,2026-05-02 08:28:27+00:00,1777710507000,310,26.06719,51.27341,1004.34003,48939
20260502-082315,-OrbnRqLwASlAkLamJyv,2026-05-02 08:28:37+00:00,1777710517000,320,26.07099,51.42236,1004.34998,48882
20260502-082315,-OrbnUHJN3cmdWRbGn-Z,2026-05-02 08:28:47+00:00,1777710527000,330,26.0767,51.61507,1004.34003,48486
20260502-082315,-OrbnWi2KRYbjXzOz1vd,2026-05-02 08:28:57+00:00,1777710537000,340,26.08335,51.8329,1004.34998,48768
