session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260508-002650,1778200014,2026-05-08 00:26:54+00:00,1778200014000,3,26.12805,40.40207,10.05195,115916,True,55.32555,0
20260508-002650,1778200026,2026-05-08 00:27:06+00:00,1778200026000,15,26.75557,36.72019,10.0522,5982143,True,0.0,0
20260508-002650,1778200038,2026-05-08 00:27:18+00:00,1778200038000,27,26.44622,37.94481,10.05195,85784,True,0.0,0
20260508-002650,1778200050,2026-05-08 00:27:30+00:00,1778200050000,39,26.30423,39.35429,10.05192,84743,True,55.93382,0
20260508-002650,1778200062,2026-05-08 00:27:42+00:00,1778200062000,51,26.2738,39.5612,10.05204,86137,True,57.69299,0
20260508-002650,1778200074,2026-05-08 00:27:54+00:00,1778200074000,63,26.25605,39.62957,10.05221,88598,True,59.20454,0
20260508-002650,1778200086,2026-05-08 00:28:06+00:00,1778200086000,75,26.24845,39.68212,10.05202,90123,True,60.66762,0
20260508-002650,1778200098,2026-05-08 00:28:18+00:00,1778200098000,87,26.24591,39.67735,10.05207,91402,True,62.23384,0
20260508-002650,1778200110,2026-05-08 00:28:30+00:00,1778200110000,99,26.24338,39.70309,10.05224,92615,True,63.79499,0
20260508-002650,1778200122,2026-05-08 00:28:42+00:00,1778200122000,111,26.23323,39.71625,10.0522,94177,True,65.36897,0
20260508-002650,1778200134,2026-05-08 00:28:54+00:00,1778200134000,123,26.23323,39.71956,10.05207,94602,True,67.31506,0
20260508-002650,1778200146,2026-05-08 00:29:06+00:00,1778200146000,135,26.23323,39.71137,10.0522,94496,True,69.73284,0
20260508-002650,1778200158,2026-05-08 00:29:18+00:00,1778200158000,147,26.22816,39.7453,10.05206,95248,True,72.00408,0
20260508-002650,1778200170,2026-05-08 00:29:30+00:00,1778200170000,159,26.2307,39.74599,10.0521,95574,True,126.72889,3
20260508-002650,1778200182,2026-05-08 00:29:42+00:00,1778200182000,171,26.2307,39.76178,10.05221,95574,True,125.98844,3
20260508-002650,1778200194,2026-05-08 00:29:54+00:00,1778200194000,183,26.22816,39.7746,10.05197,94739,True,126.45079,3
20260508-002650,1778200206,2026-05-08 00:30:06+00:00,1778200206000,195,26.22563,39.76313,10.05206,94817,True,126.77213,3
20260508-002650,1778200218,2026-05-08 00:30:18+00:00,1778200218000,207,26.2307,39.79842,10.05214,95032,True,127.10455,3
20260508-002650,1778200230,2026-05-08 00:30:30+00:00,1778200230000,219,26.21802,39.8352,10.05193,94048,True,127.38096,3
20260508-002650,1778200242,2026-05-08 00:30:42+00:00,1778200242000,231,26.21295,39.89806,10.05204,95387,True,126.2407,3
20260508-002650,1778200254,2026-05-08 00:30:54+00:00,1778200254000,243,26.20534,40.19778,10.05213,96153,True,123.33437,3
20260508-002650,1778200266,2026-05-08 00:31:06+00:00,1778200266000,255,26.20281,40.35454,10.05185,96709,True,119.74563,3
20260508-002650,1778200278,2026-05-08 00:31:18+00:00,1778200278000,267,26.20027,40.73383,10.05228,96375,True,118.51817,3
20260508-002650,1778200290,2026-05-08 00:31:30+00:00,1778200290000,279,26.20027,40.65877,10.05219,97667,True,115.07052,3
20260508-002650,1778200302,2026-05-08 00:31:42+00:00,1778200302000,291,26.20027,40.70291,10.05212,98067,True,113.51088,3
20260508-002650,1778200314,2026-05-08 00:31:54+00:00,1778200314000,303,26.19013,40.74327,10.05222,98355,True,112.21031,3
20260508-002650,1778200326,2026-05-08 00:32:06+00:00,1778200326000,315,26.18506,40.75791,10.05205,98298,True,110.35814,3
20260508-002650,1778200338,2026-05-08 00:32:18+00:00,1778200338000,327,26.19267,40.78891,10.05216,99643,True,108.72201,3
20260508-002650,1778200350,2026-05-08 00:32:30+00:00,1778200350000,339,26.18759,40.79242,10.05211,98761,True,108.16609,3
20260508-002650,1778200362,2026-05-08 00:32:42+00:00,1778200362000,351,26.19013,40.81522,10.05221,99171,True,107.51447,3
20260508-002650,1778200374,2026-05-08 00:32:54+00:00,1778200374000,363,26.1952,40.80491,10.05232,98820,True,108.005,3
20260508-002650,1778200386,2026-05-08 00:33:06+00:00,1778200386000,375,26.18506,40.83619,10.05205,97610,True,110.15767,3
20260508-002650,1778200398,2026-05-08 00:33:18+00:00,1778200398000,387,26.18252,40.8331,10.05208,98067,True,111.11899,3
20260508-002650,1778200410,2026-05-08 00:33:30+00:00,1778200410000,399,26.18252,40.84977,10.05217,97838,True,111.14942,3
20260508-002650,1778200422,2026-05-08 00:33:42+00:00,1778200422000,411,26.18506,40.86195,10.05225,98355,True,109.63123,3
20260508-002650,1778200434,2026-05-08 00:33:54+00:00,1778200434000,423,26.17745,40.899,10.05198,98587,True,109.03387,3
20260508-002650,1778200446,2026-05-08 00:34:06+00:00,1778200446000,435,26.17745,41.01133,10.05198,99524,True,106.74362,3
20260508-002650,1778200458,2026-05-08 00:34:18+00:00,1778200458000,447,26.17238,41.07719,10.05195,98645,True,106.89664,3
20260508-002650,1778200470,2026-05-08 00:34:30+00:00,1778200470000,459,26.17745,41.09669,10.05205,99465,True,106.13187,3
20260508-002650,1778200482,2026-05-08 00:34:42+00:00,1778200482000,471,26.16731,41.07634,10.05203,99880,True,105.14328,3
20260508-002650,1778200494,2026-05-08 00:34:54+00:00,1778200494000,483,26.16985,41.06157,10.05218,99465,True,104.19893,3
20260508-002650,1778200506,2026-05-08 00:35:06+00:00,1778200506000,495,26.16477,41.09923,10.05203,99524,True,104.04819,3
20260508-002650,1778200518,2026-05-08 00:35:18+00:00,1778200518000,507,26.17238,41.05821,10.05225,99524,True,104.07107,3
20260508-002650,1778200530,2026-05-08 00:35:30+00:00,1778200530000,519,26.16224,41.01123,10.05195,99702,True,102.72582,3
20260508-002650,1778200542,2026-05-08 00:35:42+00:00,1778200542000,531,26.16224,40.96513,10.05198,100059,True,101.48215,3
20260508-002650,1778200554,2026-05-08 00:35:54+00:00,1778200554000,543,26.15463,41.06973,10.05177,101147,True,99.48433,3
20260508-002650,1778200566,2026-05-08 00:36:06+00:00,1778200566000,555,26.1597,41.00334,10.05194,100239,True,100.8797,3
20260508-002650,1778200578,2026-05-08 00:36:18+00:00,1778200578000,567,26.15717,40.98048,10.05203,99821,True,101.20627,3
20260508-002650,1778200590,2026-05-08 00:36:30+00:00,1778200590000,579,26.15717,41.02291,10.05211,100359,True,101.18053,3
20260508-002650,1778200602,2026-05-08 00:36:42+00:00,1778200602000,591,26.15717,41.04233,10.05206,100903,True,99.99288,3
20260508-002650,1778200614,2026-05-08 00:36:54+00:00,1778200614000,603,26.1521,41.13121,10.0521,100540,True,100.58797,3
20260508-002650,1778200626,2026-05-08 00:37:06+00:00,1778200626000,615,26.1521,41.10552,10.05194,99643,True,102.38525,3
20260508-002650,1778200638,2026-05-08 00:37:18+00:00,1778200638000,627,26.15717,41.16074,10.05197,100661,True,101.92676,3
20260508-002650,1778200650,2026-05-08 00:37:30+00:00,1778200650000,639,26.15463,41.20966,10.05207,100119,True,101.92064,3
20260508-002650,1778200662,2026-05-08 00:37:42+00:00,1778200662000,651,26.13942,41.21846,10.05169,100299,True,101.44722,3
20260508-002650,1778200674,2026-05-08 00:37:54+00:00,1778200674000,663,26.1521,41.18052,10.05205,99702,True,101.5645,3
20260508-002650,1778200686,2026-05-08 00:38:06+00:00,1778200686000,675,26.14702,41.19768,10.05216,100903,True,99.94594,3
20260508-002650,1778200698,2026-05-08 00:38:18+00:00,1778200698000,687,26.14449,41.14541,10.05198,100600,True,100.24001,3
20260508-002650,1778200710,2026-05-08 00:38:30+00:00,1778200710000,699,26.14195,41.14163,10.05199,101453,True,98.8868,3
20260508-002650,1778200722,2026-05-08 00:38:42+00:00,1778200722000,711,26.14195,41.11501,10.0522,101086,True,98.26559,3
20260508-002650,1778200734,2026-05-08 00:38:54+00:00,1778200734000,723,26.13435,41.12561,10.05218,101086,True,97.67336,3
20260508-002650,1778200746,2026-05-08 00:39:06+00:00,1778200746000,735,26.13435,41.13376,10.05215,101086,True,97.99077,3
20260508-002650,1778200758,2026-05-08 00:39:18+00:00,1778200758000,747,26.12674,41.12196,10.05185,99761,True,101.10733,3
20260508-002650,1778200770,2026-05-08 00:39:30+00:00,1778200770000,759,26.13435,41.12347,10.05195,99171,True,103.20989,3
20260508-002650,1778200782,2026-05-08 00:39:42+00:00,1778200782000,771,26.13181,41.13197,10.05186,99053,True,104.80006,3
20260508-002650,1778200794,2026-05-08 00:39:54+00:00,1778200794000,783,26.12674,41.13198,10.05199,99171,True,104.72383,3
20260508-002650,1778200806,2026-05-08 00:40:06+00:00,1778200806000,795,26.13181,41.13894,10.05188,100119,True,102.7173,3
20260508-002650,1778200818,2026-05-08 00:40:18+00:00,1778200818000,807,26.1242,41.1416,10.05188,100059,True,102.32251,3
20260508-002650,1778200830,2026-05-08 00:40:30+00:00,1778200830000,819,26.1242,41.14997,10.05199,100782,True,101.19391,3
