session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
19700101-000012,-OrUFOnx-0vj8bURlT6n,2026-04-30 16:38:32+00:00,1777567112000,120,25.23584,42.45419,1008.27002,59259
19700101-000012,-OrUFRFsqAh6O0o0geBN,2026-04-30 16:38:42+00:00,1777567122000,130,25.22189,42.44085,1008.27002,59050
19700101-000012,-OrUFTgPAS9mHStBONyb,2026-04-30 16:38:52+00:00,1777567132000,140,25.21143,42.43967,1008.27002,59217
19700101-000012,-OrUFW7OtkrsvJF9X4RH,2026-04-30 16:39:02+00:00,1777567142000,150,25.20161,42.42682,1008.26001,58967
19700101-000012,-OrUFYYZ2f2DnkC_AF0J,2026-04-30 16:39:12+00:00,1777567152000,160,25.19242,42.42578,1008.26001,59008
19700101-000012,-OrUFa-ahstmm8DCNvjq,2026-04-30 16:39:22+00:00,1777567162000,170,25.18513,42.45432,1008.26001,58842
19700101-000012,-OrUFcZ0rDAN-QIsTYky,2026-04-30 16:39:32+00:00,1777567172000,180,25.17942,42.48893,1008.25,58678
19700101-000012,-OrUFesUgCOkJa-YoXtA,2026-04-30 16:39:42+00:00,1777567182000,190,25.17403,42.62348,1008.25,58636
19700101-000012,-OrUFhKDRYf93LVfPZDx,2026-04-30 16:39:52+00:00,1777567192000,200,25.1696,42.66414,1008.25,58473
19700101-000012,-OrUFjmBktwW8bfy_Vc7,2026-04-30 16:40:02+00:00,1777567202000,210,25.16611,42.6461,1008.25,58595
