session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260509-202222,1778358150,2026-05-09 20:22:30+00:00,1778358150000,3,25.50432,43.31786,10.06952,93995,True,97.67374,0
20260509-202222,1778358162,2026-05-09 20:22:42+00:00,1778358162000,15,26.14449,39.1724,10.06997,4180967,True,0.0,0
20260509-202222,1778358174,2026-05-09 20:22:54+00:00,1778358174000,27,25.83515,40.27595,10.06941,66824,True,0.0,0
20260509-202222,1778358186,2026-05-09 20:23:06+00:00,1778358186000,39,25.70837,41.63471,10.06952,70361,True,100.70317,0
20260509-202222,1778358199,2026-05-09 20:23:19+00:00,1778358199000,51,25.68809,41.79424,10.06941,73446,True,101.86333,0
20260509-202222,1778358210,2026-05-09 20:23:30+00:00,1778358210000,62,25.74877,41.64605,10.06953,73705,True,102.71059,0
20260509-202222,1778358223,2026-05-09 20:23:43+00:00,1778358223000,75,25.64137,42.38473,10.06937,60588,True,105.00623,0
20260509-202222,1778358235,2026-05-09 20:23:55+00:00,1778358235000,87,25.63991,42.08937,10.06893,64807,True,109.28257,0
20260509-202222,1778358247,2026-05-09 20:24:07+00:00,1778358247000,99,25.66273,41.96437,10.06909,72243,True,109.04834,0
20260509-202222,1778358259,2026-05-09 20:24:19+00:00,1778358259000,111,25.65766,41.96106,10.06883,75704,True,108.60767,0
20260509-202222,1778358272,2026-05-09 20:24:32+00:00,1778358272000,124,25.71002,41.81743,10.06887,76744,True,110.0576,0
20260509-202222,1778358285,2026-05-09 20:24:45+00:00,1778358285000,136,25.61202,42.26675,10.06878,64908,True,119.59456,0
20260509-202222,1778358297,2026-05-09 20:24:57+00:00,1778358297000,149,25.62216,42.05164,10.06873,67963,True,122.96727,0
20260509-202222,1778358310,2026-05-09 20:25:10+00:00,1778358310000,162,25.68466,41.79433,10.06869,70598,True,125.58372,0
20260509-202222,1778358324,2026-05-09 20:25:24+00:00,1778358324000,176,25.60657,42.37417,10.06862,59301,True,134.49533,0
20260509-202222,1778358345,2026-05-09 20:25:45+00:00,1778358345000,197,25.5822,42.66692,10.06836,52730,True,151.88834,0
20260509-202222,1778358357,2026-05-09 20:25:57+00:00,1778358357000,209,25.60187,42.21991,10.06833,60457,True,169.47757,0
20260509-202222,1778358369,2026-05-09 20:26:09+00:00,1778358369000,221,25.62216,42.01297,10.06846,70718,True,153.14258,0
20260509-202222,1778358381,2026-05-09 20:26:21+00:00,1778358381000,233,25.6323,41.91553,10.06837,75431,True,141.04759,0
20260509-202222,1778358391,2026-05-09 20:26:31+00:00,1778358391000,243,25.56131,42.29511,10.06822,69141,True,145.38908,0
20260509-202222,1778358404,2026-05-09 20:26:44+00:00,1778358404000,256,25.66184,41.97665,10.06847,71564,True,150.95309,0
20260509-202222,1778358441,2026-05-09 20:27:21+00:00,1778358441000,293,25.58483,42.46695,10.06815,60588,True,182.64325,0
20260509-202222,1778358453,2026-05-09 20:27:33+00:00,1778358453000,305,25.59427,42.149,10.06828,59133,True,246.01099,0
20260509-202222,1778358465,2026-05-09 20:27:45+00:00,1778358465000,317,25.61202,41.91441,10.0682,69775,True,203.70006,0
20260509-202222,1778358477,2026-05-09 20:27:57+00:00,1778358477000,329,25.62723,41.85315,10.06814,75295,True,171.24054,0
20260509-202222,1778358489,2026-05-09 20:28:09+00:00,1778358489000,341,25.63484,41.80612,10.06816,78544,True,152.37581,0
20260509-202222,1778358501,2026-05-09 20:28:21+00:00,1778358501000,353,25.64498,41.79055,10.06815,80507,True,140.56296,0
