session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260508-194829,1778269714,2026-05-08 19:48:34+00:00,1778269714000,3,25.65139,42.67019,10.08836,102697,True,99.45782,0
20260508-194829,1778269726,2026-05-08 19:48:46+00:00,1778269726000,15,26.28648,38.7584,10.08814,4877161,True,0.0,0
20260508-194829,1778269738,2026-05-08 19:48:58+00:00,1778269738000,27,25.85543,40.94128,10.08809,74425,True,0.0,0
20260508-194829,1778269750,2026-05-08 19:49:10+00:00,1778269750000,39,25.80726,41.48902,10.08791,74096,True,100.82963,0
20260508-194829,1778269762,2026-05-08 19:49:22+00:00,1778269762000,51,25.79458,41.5966,10.08801,75635,True,102.29089,0
20260508-194829,1778269773,2026-05-08 19:49:33+00:00,1778269773000,62,25.71597,42.11138,10.08851,67253,True,103.80985,0
20260508-194829,1778269785,2026-05-08 19:49:45+00:00,1778269785000,74,25.77936,41.68632,10.08851,75363,True,105.42354,0
20260508-194829,1778269797,2026-05-08 19:49:57+00:00,1778269797000,86,25.7819,41.6231,10.08838,78617,True,106.29569,0
20260508-194829,1778269809,2026-05-08 19:50:09+00:00,1778269809000,98,25.78444,41.6025,10.08825,80895,True,107.11842,0
20260508-194829,1778269822,2026-05-08 19:50:22+00:00,1778269822000,110,25.76161,41.88251,10.0886,75025,True,110.46729,0
20260508-194829,1778269835,2026-05-08 19:50:35+00:00,1778269835000,123,25.82412,41.66461,10.08844,77097,True,112.95052,0
20260508-194829,1778269845,2026-05-08 19:50:45+00:00,1778269845000,134,25.72198,42.29619,10.08854,62767,True,118.84063,0
20260508-194829,1778269857,2026-05-08 19:50:57+00:00,1778269857000,146,25.74894,41.83414,10.08883,70957,True,126.79639,0
20260508-194829,1778269869,2026-05-08 19:51:09+00:00,1778269869000,158,25.76669,41.681,10.08892,77526,True,123.98344,0
20260508-194829,1778269881,2026-05-08 19:51:21+00:00,1778269881000,170,25.76415,41.66351,10.08873,81367,True,121.89256,0
