session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm,heater_stable,iaq,iaq_accuracy
20260507-060230,1778133754,2026-05-07 06:02:34+00:00,1778133754000,3,26.71379,43.95338,10.08449,89545,True,69.64268,0
20260507-060230,1778133766,2026-05-07 06:02:46+00:00,1778133766000,15,27.36158,39.67329,10.08497,3982169,True,0.0,0
20260507-060230,1778133778,2026-05-07 06:02:58+00:00,1778133778000,27,27.05223,41.01189,10.08479,66771,True,0.0,0
20260507-060230,1778133790,2026-05-07 06:03:10+00:00,1778133790000,39,26.92038,42.48029,10.0847,68857,True,70.73522,0
20260507-060230,1778133802,2026-05-07 06:03:22+00:00,1778133802000,51,26.89503,42.61101,10.08452,71502,True,72.32285,0
20260507-060230,1778133814,2026-05-07 06:03:34+00:00,1778133814000,63,26.88996,42.62462,10.08456,73446,True,73.87361,0
20260507-060230,1778133826,2026-05-07 06:03:46+00:00,1778133826000,75,26.89503,42.59652,10.08471,75431,True,75.45304,0
20260507-060230,1778133838,2026-05-07 06:03:58+00:00,1778133838000,87,26.88996,42.58786,10.08463,76534,True,77.19522,0
20260507-060230,1778133936,2026-05-07 06:05:36+00:00,1778133936000,185,26.80882,43.07464,10.08464,48290,True,145.6331,0
20260507-060230,1778133947,2026-05-07 06:05:47+00:00,1778133947000,196,26.73528,43.32755,10.08453,50291,True,151.40904,0
20260507-060230,1778133959,2026-05-07 06:05:59+00:00,1778133959000,208,26.82403,42.8238,10.08443,63289,True,144.7847,0
20260507-060230,1778133971,2026-05-07 06:06:11+00:00,1778133971000,220,26.83671,42.7351,10.08442,69601,True,137.83777,0
20260507-060230,1778133983,2026-05-07 06:06:23+00:00,1778133983000,232,26.85192,42.68957,10.08462,73126,True,135.36813,0
20260507-060230,1778133995,2026-05-07 06:06:35+00:00,1778133995000,244,26.85446,42.66336,10.08453,75635,True,135.48555,0
20260507-060230,1778134007,2026-05-07 06:06:47+00:00,1778134007000,256,26.76825,43.26677,10.08436,65620,True,147.69243,0
20260507-060230,1778134106,2026-05-07 06:08:26+00:00,1778134106000,354,26.7936,43.07198,10.08436,49198,True,275.29437,0
20260507-060230,1778134135,2026-05-07 06:08:55+00:00,1778134135000,383,26.86176,42.81109,10.08446,53198,True,267.56818,0
20260507-060230,1778134171,2026-05-07 06:09:31+00:00,1778134171000,420,26.75624,43.68136,10.08449,41338,True,281.02386,0
20260507-060230,1778134183,2026-05-07 06:09:43+00:00,1778134183000,432,26.77585,43.07629,10.08441,49372,True,292.46048,0
20260507-060230,1778134195,2026-05-07 06:09:55+00:00,1778134195000,444,26.80628,42.85102,10.08432,61387,True,242.12892,0
20260507-060230,1778134208,2026-05-07 06:10:08+00:00,1778134208000,457,26.86371,42.6899,10.08438,63337,True,231.70224,0
20260507-060230,1778134231,2026-05-07 06:10:31+00:00,1778134231000,479,26.77939,43.41119,10.08437,54373,True,235.87671,0
20260507-060230,1778134243,2026-05-07 06:10:43+00:00,1778134243000,491,26.80628,42.9897,10.08488,58027,True,245.80721,0
20260507-060230,1778134255,2026-05-07 06:10:55+00:00,1778134255000,503,26.82149,42.78033,10.0846,67253,True,211.33638,0
20260507-060230,1778134267,2026-05-07 06:11:07+00:00,1778134267000,515,26.8291,42.76033,10.08458,71809,True,188.68782,0
20260507-060230,1778134279,2026-05-07 06:11:19+00:00,1778134279000,527,26.84685,42.71091,10.08489,75160,True,174.18719,0
20260507-060230,1778134291,2026-05-07 06:11:31+00:00,1778134291000,539,26.85192,42.6689,10.08469,77027,True,166.05322,0
20260507-060230,1778134303,2026-05-07 06:11:43+00:00,1778134303000,551,26.85699,42.69161,10.08475,78544,True,159.52977,0
20260507-060230,1778134315,2026-05-07 06:11:55+00:00,1778134315000,563,26.8646,42.65928,10.08475,80045,True,154.66501,0
20260507-060230,1778134327,2026-05-07 06:12:07+00:00,1778134327000,575,26.86206,42.65195,10.08474,81605,True,150.57631,0
20260507-060230,1778134339,2026-05-07 06:12:19+00:00,1778134339000,587,26.86967,42.64105,10.08465,82246,True,147.93294,0
20260507-060230,1778134351,2026-05-07 06:12:31+00:00,1778134351000,599,26.86967,42.61415,10.08462,82897,True,145.61526,0
20260507-060230,1778134363,2026-05-07 06:12:43+00:00,1778134363000,611,26.87221,42.57577,10.0848,83642,True,143.37912,0
20260507-060230,1778134375,2026-05-07 06:12:55+00:00,1778134375000,623,26.87474,42.60574,10.08449,83978,True,141.32635,0
