session_id,push_id,datetime_utc,unix_ms,elapsed_s,temp_c,humidity_pct,pressure_hpa,gas_ohm
20260429-192359,-OrPh8Y2BQILOmoxcXgr,2026-04-29 19:26:00+00:00,1777490760000,120,25.06025,31.39491,1018.17999,43800
20260429-192359,-OrPhBiS9AVqgTypVr2N,2026-04-29 19:26:10+00:00,1777490770000,130,25.02602,31.45206,1018.17999,44830
20260429-192359,-OrPhD3GX0a24UC43Mfb,2026-04-29 19:26:20+00:00,1777490780000,140,24.99306,31.44367,1018.17999,45911
20260429-192359,-OrPhFVJXh9uekQPkXRA,2026-04-29 19:26:30+00:00,1777490790000,150,24.96073,31.45723,1018.16998,46730
20260429-192359,-OrPhIJ6_VBXNHMvOY6i,2026-04-29 19:26:40+00:00,1777490800000,160,24.93284,31.50948,1018.16998,47202
20260429-192359,-OrPhKkM3_wxH9mpJAWA,2026-04-29 19:26:50+00:00,1777490810000,170,24.90209,31.53412,1018.16998,47794
20260429-192359,-OrPhO4GRSea8tj9NQly,2026-04-29 19:27:00+00:00,1777490820000,180,24.87294,31.5589,1018.16998,48458
20260429-192359,-OrPhPI5FF0EK2GdUb8c,2026-04-29 19:27:10+00:00,1777490830000,190,24.84346,31.59461,1018.15997,49169
20260429-192359,-OrPhS3y_lpO-JJwTLTC,2026-04-29 19:27:20+00:00,1777490840000,200,24.81272,31.64663,1018.15997,49842
20260429-192359,-OrPhUA0xW5dWIvbVHvL,2026-04-29 19:27:30+00:00,1777490850000,210,24.78451,31.68794,1018.15002,50261
20260429-192359,-OrPhWa53iRUrjeW537V,2026-04-29 19:27:40+00:00,1777490860000,220,24.7544,31.72361,1018.14001,50748
20260429-192359,-OrPhZ29w4fVEJax1gTB,2026-04-29 19:27:50+00:00,1777490870000,230,24.72778,31.78152,1018.13,51058
20260429-192359,-OrPhaTpefPnTt043JHp,2026-04-29 19:28:00+00:00,1777490880000,240,24.70242,31.83407,1018.12,51784
20260429-192359,-OrPhcv24lTeLUDjyMBo,2026-04-29 19:28:10+00:00,1777490890000,250,24.67675,31.87016,1018.10999,52269
20260429-192359,-OrPhfM-T5Tu_T5Wg_QO,2026-04-29 19:28:20+00:00,1777490900000,260,24.65266,31.91737,1018.09998,52597
20260429-192359,-OrPhhnRILD7mKJjKH95,2026-04-29 19:28:30+00:00,1777490910000,270,24.62921,31.93722,1018.09003,53097
20260429-192359,-OrPhkEHJ5tC8U7rfUvw,2026-04-29 19:28:40+00:00,1777490920000,280,24.60575,31.99547,1018.09003,53436
