temp_c,humidity_pct,gas_norm,humidity_delta_5m,temp_delta_5m,gas_delta_5m,hour_sin,hour_cos,humidity_max_10m,gas_min_10m,iaq_label,session_id,split,datetime_utc
25.97052,38.52174,0.0,0.16168000000000404,0.11948999999999899,,0.7632324697825288,0.646123979642964,,,Good,19200530-065424,train,2026-04-30 03:19:47+00:00
25.97876,38.09841,0.0,-0.13521000000000072,0.13122000000000256,,0.7632324697825288,0.646123979642964,,,Good,19200530-065424,train,2026-04-30 03:19:57+00:00
25.98922,38.78798,-0.018087313241498263,0.0439399999999992,0.14388999999999896,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:07+00:00
25.99809,40.16904,-0.004078968836678088,1.3046399999999991,0.15625,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:17+00:00
26.00158,38.50778,0.0,0.045659999999998035,0.161640000000002,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:27+00:00
26.00602,37.98106,0.0,-0.41797000000000395,0.1660800000000009,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:37+00:00
26.0076,37.72971,0.0,-1.4512199999999993,0.16670999999999836,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:47+00:00
26.0076,37.65548,0.0,-0.8758700000000061,0.16418000000000177,,0.766044443118978,0.6427876096865394,,,Good,19200530-065424,train,2026-04-30 03:20:57+00:00
26.00697,37.66112,0.0,-0.5493900000000025,0.16132999999999953,,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:07+00:00
26.00538,37.80376,-0.030959474898631243,-0.6135100000000051,0.15561999999999898,-0.014061198078175435,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:17+00:00
26.00697,39.06609,-0.008445529693765542,-1.1161699999999968,0.1540399999999984,-0.0016083979539100665,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:27+00:00
26.00475,38.18129,0.0,-1.1917800000000014,0.14643000000000228,0.0,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:37+00:00
26.00095,37.97482,0.0,-2.11027,0.13533999999999935,0.012168681229334923,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:47+00:00
25.99492,37.81981,0.0,-1.8144300000000015,0.12424000000000035,0.0,0.7688418320734596,0.6394390019805847,,,Good,19200530-065424,train,2026-04-30 03:21:57+00:00
25.987,37.80185,0.0,-0.9335099999999983,0.1150500000000001,0.0,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:07+00:00
25.98034,37.80688,-0.002170529039047598,-0.7790600000000012,0.10903000000000063,-0.002170529039047598,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:17+00:00
25.97115,38.08616,-0.002170529039047598,-0.184350000000002,0.09952000000000183,-0.002170529039047598,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:27+00:00
25.96259,38.25136,-0.014996382451601587,0.07839999999999492,0.09253999999999962,-0.014996382451601587,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:37+00:00
25.95404,38.29631,0.0,-0.5200299999999984,0.07733999999999952,0.0,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:47+00:00
25.94421,38.02613,0.0,-1.3213099999999969,0.05578000000000216,0.0009519038076152305,0.7716245833877199,0.6360782202777641,,,Good,19200530-065424,train,2026-04-30 03:22:57+00:00
25.94738,38.58246,-0.01527391800771236,-0.89358,0.04373999999999967,-0.01527391800771236,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:07+00:00
25.94928,39.1406,-0.012042482604106078,0.6592199999999977,0.03518000000000043,-0.012042482604106078,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:17+00:00
25.95245,39.89756,-0.017406665374092505,1.2317800000000005,0.03200999999999965,-0.017406665374092505,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:27+00:00
25.95562,39.79951,-0.025894569034231672,1.1324699999999979,0.02312999999999832,-0.017181726743998843,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:37+00:00
25.95689,38.86507,-0.008789504297809086,-0.5575100000000006,0.013310000000000599,-0.008789504297809086,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:47+00:00
25.95657,38.36537,0.0,-1.3412199999999999,0.004429999999999268,0.0,0.7743926440821856,0.6327053285625162,,,Good,19200530-065424,train,2026-04-30 03:23:57+00:00
25.95404,38.15881,0.0,-1.4382499999999965,-0.0009499999999995623,0.0,0.7771459614569709,0.6293203910498375,,,Good,19200530-065424,train,2026-04-30 03:24:07+00:00
25.95182,38.15286,0.0,-1.0055400000000034,-0.0022199999999976683,0.00782139138436206,0.7771459614569709,0.6293203910498375,,,Good,19200530-065424,train,2026-04-30 03:24:17+00:00
25.95087,40.26252,-0.012112133533062272,1.5239800000000017,-0.0057000000000009265,-0.012112133533062272,0.7771459614569709,0.6293203910498375,,,Good,19200530-065424,train,2026-04-30 03:24:27+00:00
25.95087,39.03709,-0.006655253584421142,0.6594199999999972,-0.013630000000002696,-0.006655253584421142,0.7771459614569709,0.6293203910498375,40.26252,,Good,19200530-065424,train,2026-04-30 03:24:37+00:00
25.95214,38.35344,0.0,-0.16830000000000211,-0.018380000000000507,0.0,0.7771459614569709,0.6293203910498375,40.26252,,Good,19200530-065424,train,2026-04-30 03:24:47+00:00
25.95404,38.70954,-0.011038988768843148,0.6111299999999957,-0.024720000000002074,-0.011038988768843148,0.7771459614569709,0.6293203910498375,40.26252,,Good,19200530-065424,train,2026-04-30 03:24:57+00:00
25.95911,38.4402,0.0,-0.3477800000000002,-0.030110000000000525,0.018087313241498263,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:07+00:00
25.96386,38.56123,-0.0011478615763965648,-1.6078100000000006,-0.03423000000000087,0.0029311072602815225,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:17+00:00
25.97083,38.29234,0.0,-0.21543999999999386,-0.030750000000001165,0.0,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:27+00:00
25.97686,38.01808,-0.001104127739086122,0.037019999999998277,-0.029160000000000963,-0.001104127739086122,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:37+00:00
25.98098,37.98991,0.0,0.26020000000000465,-0.026620000000001198,0.0,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:47+00:00
25.98256,37.91571,0.0,0.26022999999999996,-0.025040000000000617,0.0,0.7798844830928817,0.6259234721840591,40.26252,,Good,19200530-065424,train,2026-04-30 03:25:57+00:00
25.98415,37.84156,-0.004518990268407004,0.18044000000000437,-0.022819999999999396,-0.004518990268407004,0.7826081568524139,0.6225146366376195,40.26252,-0.030959474898631243,Good,19200530-065424,train,2026-04-30 03:26:07+00:00
25.98636,38.46028,-0.031843117472728416,0.6565200000000004,-0.019019999999997594,-0.000883642574097173,0.7826081568524139,0.6225146366376195,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:26:17+00:00
25.98795,38.69012,-0.003383988061458268,-0.37597000000000236,-0.019019999999997594,0.0050615416323072735,0.7826081568524139,0.6225146366376195,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:26:27+00:00
25.98985,38.17973,0.0,-0.0015599999999977854,-0.014900000000000801,0.0,0.7826081568524139,0.6225146366376195,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:26:37+00:00
25.99429,38.23175,0.0,0.256929999999997,-0.00666000000000011,0.0,0.7826081568524139,0.6225146366376195,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:26:47+00:00
26.00411,38.82405,-0.01899820061095535,1.004240000000003,0.009190000000000254,-0.01899820061095535,0.7826081568524139,0.6225146366376195,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:26:57+00:00
26.01172,38.29662,0.0,0.4947699999999955,0.024720000000002074,0.0,0.785316930880745,0.619093949309834,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:27:07+00:00
26.01616,37.79344,0.0,-0.013440000000002783,0.03581999999999752,0.002170529039047598,0.785316930880745,0.619093949309834,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:27:17+00:00
26.03771,39.64642,-0.011350856000333236,1.5602599999999995,0.06655999999999906,-0.009180326961285639,0.785316930880745,0.619093949309834,40.26252,-0.031843117472728416,Good,19200530-065424,train,2026-04-30 03:27:27+00:00
24.35537,32.52805,0.0,1.133140000000001,-0.7048799999999993,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:00+00:00
24.33667,32.52085,0.0,1.0687900000000035,-0.6893499999999975,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:10+00:00
24.31923,32.51377,0.0,1.0701,-0.6738299999999988,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:20+00:00
24.30212,32.48471,0.0,1.0274800000000006,-0.658610000000003,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:30+00:00
24.28881,32.48351,0.0,0.9740300000000026,-0.6440299999999972,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:40+00:00
24.2755,32.49882,0.0,0.9647000000000006,-0.6265900000000002,,-0.9222009716704518,0.3867109616368206,,,Good,20260429-192359,val,2026-04-29 19:31:50+00:00
24.26187,32.54162,0.0,0.9827200000000005,-0.6110700000000016,,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:00+00:00
24.24983,32.57906,-0.001417506201589632,0.9844499999999989,-0.593630000000001,,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:10+00:00
24.23778,32.59449,0.0,0.9478600000000021,-0.574939999999998,,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:20+00:00
24.22574,32.59891,-0.0021279804292823512,0.9109699999999954,-0.5587700000000027,-0.0021279804292823512,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:30+00:00
24.21401,32.59785,0.0,0.8742400000000004,-0.5403900000000021,0.0,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:40+00:00
24.20133,32.5857,0.0,0.8041800000000023,-0.5264500000000005,0.0,-0.92050485345244,0.39073112848927427,,,Good,20260429-192359,val,2026-04-29 19:32:50+00:00
24.18929,32.62315,0.0,0.789080000000002,-0.5131300000000003,0.0,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:00+00:00
24.17915,32.63875,-0.001451378809869376,0.7685900000000032,-0.4975999999999985,-0.001451378809869376,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:10+00:00
24.17027,32.64346,0.0,0.7260899999999992,-0.4823900000000023,0.0,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:20+00:00
24.15918,32.6755,0.0,0.7382799999999996,-0.4700300000000013,0.0,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:30+00:00
24.14999,32.6967,-0.0014551281003220902,0.7012299999999989,-0.4557600000000015,-0.0014551281003220902,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:40+00:00
24.13858,32.7122,0.0,0.6749600000000058,-0.44340000000000046,0.0,-0.9187912101488985,0.39474385638426673,,,Good,20260429-192359,val,2026-04-29 19:33:50+00:00
24.12717,32.73871,0.0,0.6814999999999998,-0.4326299999999996,0.0,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:00+00:00
24.11703,32.75432,-0.0007471413721413722,0.6606099999999984,-0.42120999999999853,-0.0007471413721413722,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:10+00:00
24.10625,32.76437,0.0,0.6286899999999989,-0.41011999999999915,0.0,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:20+00:00
24.09674,32.78004,0.0,0.6132800000000032,-0.39872000000000085,0.0,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:30+00:00
24.08565,32.80659,0.0,0.6360499999999973,-0.3907899999999991,0.0,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:40+00:00
24.07646,32.80025,0.0,0.6145899999999997,-0.3847699999999996,0.0,-0.917060074385124,0.39874906892524625,,,Good,20260429-192359,val,2026-04-29 19:34:50+00:00
24.06727,32.79941,0.0,0.6040199999999984,-0.3800099999999986,0.0,-0.9153114791194472,0.402746689858737,,,Good,20260429-192359,val,2026-04-29 19:35:00+00:00
24.05713,32.79849,0.0,0.5109700000000004,-0.3758899999999983,0.0,-0.9153114791194472,0.402746689858737,,,Good,20260429-192359,val,2026-04-29 19:35:10+00:00
24.0454,32.8305,0.0,0.4397999999999982,-0.37335999999999814,0.0,-0.9153114791194472,0.402746689858737,,,Good,20260429-192359,val,2026-04-29 19:35:20+00:00
24.03367,32.85701,-0.0052258720376135714,0.4291499999999999,-0.3701900000000009,-0.0052258720376135714,-0.9153114791194472,0.402746689858737,,,Good,20260429-192359,val,2026-04-29 19:35:30+00:00
24.02195,32.89454,0.0,0.4131099999999961,-0.36574999999999847,0.0,-0.9153114791194472,0.402746689858737,,,Good,20260429-192359,val,2026-04-29 19:35:40+00:00
24.01085,32.93214,0.0,0.41358999999999924,-0.3613199999999992,0.0,-0.9153114791194472,0.402746689858737,32.93214,,Good,20260429-192359,val,2026-04-29 19:35:50+00:00
24.00039,32.93671,0.0,0.4086599999999976,-0.3549800000000012,0.0,-0.9135454576426008,0.40673664307580054,32.93671,,Good,20260429-192359,val,2026-04-29 19:36:00+00:00
23.99152,32.93039,0.0,0.4095399999999998,-0.3451500000000003,0.0,-0.9135454576426008,0.40673664307580054,32.93671,,Good,20260429-192359,val,2026-04-29 19:36:10+00:00
23.98423,32.93524,-0.003024527023833903,0.42146999999999935,-0.33500000000000085,-0.003024527023833903,-0.9135454576426008,0.40673664307580054,32.93671,,Good,20260429-192359,val,2026-04-29 19:36:20+00:00
23.97852,32.93472,0.0,0.4500099999999989,-0.323599999999999,0.0,-0.9135454576426008,0.40673664307580054,32.93671,,Good,20260429-192359,val,2026-04-29 19:36:30+00:00
23.97219,32.94518,0.0,0.461669999999998,-0.31662000000000035,0.0,-0.9135454576426008,0.40673664307580054,32.94518,,Good,20260429-192359,val,2026-04-29 19:36:40+00:00
23.96553,32.95008,0.0,0.4512599999999978,-0.30996999999999986,0.0,-0.9135454576426008,0.40673664307580054,32.95008,,Good,20260429-192359,val,2026-04-29 19:36:50+00:00
23.95634,32.98235,0.0,0.44072999999999496,-0.3055299999999974,0.0,-0.9117620435770886,0.4107188526134774,32.98235,,Good,20260429-192359,val,2026-04-29 19:37:00+00:00
23.94841,33.0037,0.0,0.4246400000000037,-0.30142000000000024,0.001417506201589632,-0.9117620435770886,0.4107188526134774,33.0037,,Good,20260429-192359,val,2026-04-29 19:37:10+00:00
23.94144,33.03618,0.0,0.44169000000000125,-0.2963400000000007,0.0,-0.9117620435770886,0.4107188526134774,33.03618,-0.0052258720376135714,Good,20260429-192359,val,2026-04-29 19:37:20+00:00
23.93447,33.0521,-0.006106372069174475,0.4531900000000064,-0.29126999999999725,-0.003978391639892123,-0.9117620435770886,0.4107188526134774,33.0521,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:37:30+00:00
23.92655,33.06243,-0.0038223092341397474,0.464579999999998,-0.2874599999999994,-0.0038223092341397474,-0.9117620435770886,0.4107188526134774,33.06243,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:37:40+00:00
23.92052,33.07844,0.0,0.49273999999999774,-0.2808099999999989,0.0,-0.9117620435770886,0.4107188526134774,33.07844,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:37:50+00:00
23.91545,33.10006,-0.0007601849266188836,0.4769099999999966,-0.27383999999999986,-0.0007601849266188836,-0.9099612708765433,0.4146932426562389,33.10006,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:00+00:00
23.90911,33.09949,0.0,0.46074000000000126,-0.2700400000000016,0.001451378809869376,-0.9099612708765433,0.4146932426562389,33.10006,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:10+00:00
23.90309,33.09341,0.0,0.4499500000000012,-0.26717999999999975,0.0,-0.9099612708765433,0.4146932426562389,33.10006,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:20+00:00
23.89485,33.11475,0.0,0.43925000000000125,-0.2643299999999975,0.0,-0.9099612708765433,0.4146932426562389,33.11475,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:30+00:00
23.88756,33.14722,-0.0007697281320237692,0.45051999999999737,-0.2624299999999984,0.000685399968298321,-0.9099612708765433,0.4146932426562389,33.14722,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:40+00:00
23.88059,33.15211,-0.002324578958711783,0.4399099999999976,-0.2579899999999995,-0.002324578958711783,-0.9099612708765433,0.4146932426562389,33.15211,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:38:50+00:00
23.87584,33.16825,0.0,0.4295400000000029,-0.2513299999999994,0.0,-0.9081431738250815,0.4186597375374277,33.16825,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:39:00+00:00
23.8714,33.16784,0.0,0.41351999999999833,-0.24562999999999846,0.0007471413721413722,-0.9081431738250815,0.4186597375374277,33.16825,-0.006106372069174475,Good,20260429-192359,val,2026-04-29 19:39:10+00:00
23.86633,33.16737,-0.010836882030618007,0.4029999999999987,-0.2399199999999979,-0.010836882030618007,-0.9081431738250815,0.4186597375374277,33.16825,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:39:20+00:00
23.86094,33.17241,0.0,0.39236999999999966,-0.23580000000000112,0.0,-0.9081431738250815,0.4186597375374277,33.17241,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:39:30+00:00
23.85587,33.19404,-0.006232855836635172,0.3874500000000012,-0.22978000000000165,-0.006232855836635172,-0.9081431738250815,0.4186597375374277,33.19404,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:39:40+00:00
23.85111,33.19913,0.0,0.39887999999999835,-0.22535000000000238,0.0,-0.9081431738250815,0.4186597375374277,33.19913,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:39:50+00:00
23.84763,33.20433,0.0,0.40491999999999706,-0.21964000000000183,0.0,-0.9063077870366498,0.4226182617406996,33.20433,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:00+00:00
23.84192,33.21487,-0.0007911994279019522,0.41637999999999664,-0.21521000000000257,-0.0007911994279019522,-0.9063077870366498,0.4226182617406996,33.21487,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:10+00:00
23.83622,33.21987,0.0,0.38936999999999955,-0.20917999999999992,0.0,-0.9063077870366498,0.4226182617406996,33.21987,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:20+00:00
23.83146,33.23048,-0.0015811478525275561,0.3734699999999975,-0.2022100000000009,0.0036447241850860153,-0.9063077870366498,0.4226182617406996,33.23048,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:30+00:00
23.82766,33.24671,-0.0015811478525275561,0.352170000000001,-0.19428999999999874,-0.0015811478525275561,-0.9063077870366498,0.4226182617406996,33.24671,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:40+00:00
23.82196,33.25725,0.0,0.32511000000000223,-0.18889000000000067,0.0,-0.9063077870366498,0.4226182617406996,33.25725,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:40:50+00:00
23.8172,33.25681,-0.0007880937225303871,0.3201000000000036,-0.18318999999999974,-0.0007880937225303871,-0.904455145454368,0.42656873990145827,33.25725,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:00+00:00
23.8115,33.27287,0.0,0.3424799999999948,-0.1800200000000025,0.0,-0.904455145454368,0.42656873990145827,33.27287,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:10+00:00
23.80706,33.27799,-0.000786853493932149,0.34275000000000233,-0.17717000000000027,0.0022376735299017543,-0.904455145454368,0.42656873990145827,33.27799,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:20+00:00
23.80135,33.27195,-0.000786853493932149,0.33722999999999814,-0.17717000000000027,-0.000786853493932149,-0.904455145454368,0.42656873990145827,33.27799,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:30+00:00
23.79597,33.29356,0.0,0.3483799999999988,-0.1762200000000007,0.0,-0.904455145454368,0.42656873990145827,33.29356,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:40+00:00
23.79216,33.32638,-0.0031626506024096386,0.3763000000000005,-0.17337000000000202,-0.0031626506024096386,-0.904455145454368,0.42656873990145827,33.32638,-0.010836882030618007,Good,20260429-192359,val,2026-04-29 19:41:50+00:00
